                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  87.88,                      0,                      0,                      0,                      0,                      0,                      0,                 189.74,                      0,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                      0,                  75.72,                      0,                      0,                      0,                      0,                      0,                      0,                 187.78,                      0,             3.2166e-06,             3.2166e-06,             3.2166e-06
                      3,                      0,                 62.634,                      0,                      0,                      0,                      0,                      0,                      0,                 180.59,                      0,             4.7719e-06,             4.7719e-06,             4.7719e-06
                      4,                      0,                 70.104,                      0,                      0,                      0,                      0,                      0,                      0,                  170.1,                      0,              5.856e-06,              5.856e-06,              5.856e-06
                      5,                      0,                 46.311,                      0,                      0,                      0,                      0,                      0,                      0,                 155.99,                      0,             6.4688e-06,             6.4688e-06,             6.4688e-06
                      6,                      0,                  35.67,                      0,                      0,                      0,                      0,                      0,                      0,                 141.84,                      0,             6.6105e-06,             6.6105e-06,             6.6105e-06
                      7,                      0,                 43.416,                      0,                      0,                      0,                      0,                      0,                      0,                 128.83,                      0,             6.2808e-06,             6.2808e-06,             6.2808e-06
                      8,                      0,                 34.357,                      0,                      0,                      0,                      0,                      0,                      0,                 117.16,                      0,               5.48e-06,               5.48e-06,               5.48e-06
                      9,                      0,                 26.705,                      0,                      0,                      0,                      0,                      0,                      0,                 111.72,                      0,             4.2078e-06,             4.2078e-06,             4.2078e-06
                     10,                      0,                 25.768,                      0,                      0,                      0,                      0,                      0,                      0,                 106.56,                      0,             2.4645e-06,             2.4645e-06,             2.4645e-06
