                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2116,                 3.0369,                 1.3566,                0.79746,                0.61616,                0.83813,                0.66222,                0.69776,                 1.4616,                0.90996,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 1.3763,                 2.7212,                 1.5418,                0.78981,                0.61777,                 0.8368,                0.65187,                 0.6961,                  1.431,                0.90658,             3.3933e-06,             3.3933e-06,             3.3933e-06
                      3,                 1.2661,                 2.9427,                 1.3274,                 0.7991,                0.69258,                0.84494,                0.65535,                0.69633,                 1.3717,                0.90593,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      4,                 1.2947,                 2.3321,                 1.4252,                0.82868,                0.68632,                0.85349,                 0.6635,                0.69797,                 1.2991,                0.90807,              7.093e-06,              7.093e-06,              7.093e-06
                      5,                 1.2704,                 2.1924,                  1.408,                0.82111,                0.71789,                0.85516,                0.67132,                0.68295,                 1.1929,                0.89674,             8.5894e-06,             8.5894e-06,             8.5894e-06
                      6,                 1.1123,                 2.0805,                 1.2606,                0.80601,                0.72216,                0.85784,                0.67922,                0.66837,                 1.0781,                0.88383,             9.8502e-06,             9.8502e-06,             9.8502e-06
                      7,                 1.0387,                 1.8685,                 1.3057,                0.85205,                0.71875,                0.86675,                0.69306,                0.64563,                0.97501,                0.86979,             1.0875e-05,             1.0875e-05,             1.0875e-05
                      8,                  0.955,                 1.6084,                 1.1908,                0.86586,                0.75745,                0.87707,                0.71457,                0.61685,                0.87526,                0.84694,             1.1665e-05,             1.1665e-05,             1.1665e-05
                      9,                   1.13,                 1.7737,                 1.3073,                0.96758,                0.69641,                0.88876,                0.71999,                0.61413,                0.82554,                0.84411,             1.2219e-05,             1.2219e-05,             1.2219e-05
                     10,                0.96755,                 1.4081,                 1.2072,                0.91984,                0.73156,                0.89416,                0.73297,                0.59666,                0.78149,                0.83334,             1.2537e-05,             1.2537e-05,             1.2537e-05
                     11,                0.99759,                 1.4885,                 1.2813,                 0.7534,                0.88438,                0.89955,                0.73469,                0.58216,                0.73149,                0.82282,              1.262e-05,              1.262e-05,              1.262e-05
                     12,                0.94174,                 1.6315,                 1.2232,                0.77072,                0.88438,                0.89992,                0.74958,                0.54948,                0.69212,                0.80474,             1.2467e-05,             1.2467e-05,             1.2467e-05
                     13,                 0.8114,                 1.4152,                  1.046,                0.80917,                0.88438,                 0.9101,                0.76073,                0.55143,                0.64873,                0.80795,             1.2079e-05,             1.2079e-05,             1.2079e-05
                     14,                 0.8449,                  1.484,                  1.067,                0.84139,                0.88148,                0.92373,                0.78094,                0.54335,                0.62303,                 0.8047,             1.1454e-05,             1.1454e-05,             1.1454e-05
                     15,                 0.8987,                 1.1957,                 1.1793,                 0.8862,                0.85189,                0.93043,                0.78537,                0.53833,                0.59717,                0.80076,             1.0595e-05,             1.0595e-05,             1.0595e-05
                     16,                0.69369,                 1.1263,                 1.0117,                  0.904,                0.86676,                0.93385,                0.79205,                0.53203,                0.58138,                0.79826,             9.4992e-06,             9.4992e-06,             9.4992e-06
                     17,                0.68378,                 1.0179,                 1.0879,                0.92719,                0.86875,                0.93906,                0.80008,                0.52464,                0.57134,                0.79425,             8.1682e-06,             8.1682e-06,             8.1682e-06
                     18,                 0.7592,                 1.1201,                0.99492,                 0.9292,                0.86875,                0.94192,                 0.8057,                0.52428,                0.56332,                0.79393,             6.6015e-06,             6.6015e-06,             6.6015e-06
                     19,                0.76572,                 1.2235,                0.98929,                0.93048,                0.86875,                0.94298,                0.80252,                0.53038,                0.55384,                0.79716,             4.7993e-06,             4.7993e-06,             4.7993e-06
                     20,                0.77739,                 1.0399,                 1.0451,                0.93228,                0.86875,                0.94589,                0.80743,                0.52982,                0.55713,                0.79831,             2.7614e-06,             2.7614e-06,             2.7614e-06
